,Density,ClsCoef,Hubs,Classifier,Error
net1_Metrics,0.122677443,0.662596624,0.190189667,Knn,
net2_Metrics,0.16689038,0.732604353,0.217313271,Knn,
net3_Metrics,0.187701693,0.615018071,0.317786412,SVM,
net4_Metrics,0.082610872,0.753706345,0.140750402,SVM,
net5_Metrics,0.124622746,0.468053367,0.425467448,DT,
net6_Metrics,0.154896676,0.550263158,0.377608671,SVM,
net7_Metrics,0.162966066,0.462448568,0.326982331,Knn,
net8_Metrics,0.10032129,0.541309005,0.279805877,SVM,
net9_Metrics,0.130968872,0.523773611,0.258255067,LDA,
net10_Metrics,0.189390316,0.641474198,0.349554697,DT,
net11_Metrics,0.114746305,0.830494902,0.161302151,NN,
net12_Metrics,0.191127391,0.608469415,0.375850827,Knn,
net13_Metrics,0.13113155,0.559966065,0.260804254,Knn,
net14_Metrics,0.02252658,0.842639008,0.037609802,DT,
net15_Metrics,0.168920206,0.64951819,0.212425238,Knn,
net16_Metrics,0.127111579,0.704287147,0.218828911,Knn,
net17_Metrics,0.04958247,0.88500332,0.212877154,NN,
